label,Message,clean_Message
1,"Jika anda bermasalah dgn CC/KT@, stres dgn bunga, pelunasan disc s/d 75%. Hub: ATY 082134976289(wa)/087888869297. LEGAL",masalah cckt stres bunga lunas disc sd hubung aty wa legal
1,"Lelah byr min payment? Kami Solusinya, bantu secara LEGAL penutupan CC/KTA, dscn 50-75%. Hub.LoLyta 081316523061/087822962308 (WA). LEGAL",lelah bayar min payment solusi bantu legal tutup cckta dscn hublolyta wa legal
1,"Dana Tunai (KTA) bunga 0,99% hingga 300 jt. Syarat KTP & CC.
Bisa Dgn BPKB rate 0.99% 3 hari CAIR . hub AYU 081584650877 (WA).mhn maaf bila menggangu",dana tunai bunga jt syarat ktp cc bpkb rate cair hubung ayu wamhn maaf menggangu
1,"“ROXI CELL” Hanya dengan Rp.100rb Anda bisa jadi agen pulsa elektrik ke semua Operator GSM/CDMA,v5=4300,v10=8300,Utk daftar ketik MTRONIK kirim ke 087870870707",roxi cell rprb agen pulsa elektrik operator gsmcdmavvutk daftar ketik mtronik kirim
1,3 RAMADHAN Selamat Anda Pemenang Rp.100jt. PIN CODE 7Y7R8K9Z Info: www.hadiah-3ramadhan.blogspot.com   ,ramadhan selamat menang rpjt pin code yrkz informasi
1,Anda brminat cash&kredit mtor scond brg istmwa tipe&merk apa sj.dsini mnyediakn 50 unit dr thn 2004 keatas hub 087739124242/085743146233 MS DEDIKTP luar yk bs.,brminat cashkredit motor scond barang istmwa tipemerk sjdsini mnyediakn unit atas hubung ms dediktp yk
1,ANDA MAU MENANG TOGEL 100% Tembus pasang shio 7 tunggal angka 07.31.19.43....ingat maharnya pulsa 100rb dikirim ke no 0823...xxx khusus putaran SGP SENIN,menang togel tembus pasang shio tunggal angka mahar pulsa rb kirim nomor xxx khusus putar sgp senin
1,Anda mempunyai 3 pesan suara dari 083139195872; untuk mendengarkan pesan suara anda silahkan tekan *886*10000*083139195872# tekan OK/YA. Bebas biaya. Terima kasih,pesan suara dengar pesan suara silah tekan tekan okya bebas biaya terima kasih
1,Anda pmain togel sring kalah.mau bagi hasil. MBAH JOKO bisah mbntu anda SIO/ANGKA dari RETUWAL Berminat. Hub : MBAH JOKO.di. 085217984299 Dijamin 100% tembus,main togel kalahmau hasil mbah joko bisah mbntu sioangka retuwal minat hubung mbah jokodi jamin tembus
1,"ANEKA SHOP Berbagi Promo Type Blackberry DAKOTA 2,4 jt, TOURCH 1,7 jt, ONIX.2 1,5 jt, GEMINI 800 rb, U/Pemesanan 085325557999 Pin BB-2A96DE82 www.aneka999.blogspot.com",aneka shop bagi promo type blackberry dakota jt tourch jt onix jt gemini rb upemesanan pin bbade
1,Anyonghaseyo! Ngaku KPOPers Sejati?? Ayo lengkapi koleksi Video Kpopmu di http://kpop.xl.co.id. Skrg Harga video lebih murah loh! Info*123*2200#,anyonghaseyo ngaku kpopers sejati ayo lengkap koleksi video kpopmu harga video murah loh informasi
1,"Artha Cell diskon Brg elektronik BB Dakota 3 juta BB Onyx3 2,8 jt Camera DLL HUB Sms ke : 085335875777 Pin BB 28BDDF4D www.arthajaya-cell.blogspot.com",artha cell diskon barang elektronik bb dakota juta bb onyx jt camera lain hubung sms pin bb bddfd
1,"Ass, mengenai rumah dan tanah yg kemarin, sy sdah survei, sy mrasa cocok, untuk nego harga hubungi atau sms suami saya, pak. haji. dermawan; 085796022225.",ass rumah tanah kemarin survei cocok nego harga hubung sms suami haji dermawan
1,"Ass, Sy Randy. Mengenai mobil yg sdh sy liat kondisi'y , kebetulan kami berminat. Mohon hub Bapa sy utk dibicarakan hrg netnya; Dr.H.DARMAWAN 0812xxxxxxx",ass randy mobil lihat kondisiy minat mohon hubung bapa bicara harga net drhdarmawan xxxxxxx
1,"Ass,maaf sy WAHYU.mengenai Mobil bpk yg mau di jual sy sudah lihat dan cocok, Untuk nego hrg silahkan Hub saudara sy di 081219550857 dgn pak JUSMAN SAFEI (TP)",assmaaf wahyumengenai mobil jual lihat cocok nego harga silah hubung saudara jusman safei
1,Ass. Maaf sy by hj.suri yang kemarin survey rumah anda. Mengenai harga bisa hub suami saya H. SIGIT tlp 081316005639.terima kasih,ass maaf by hjsuri kemarin survey rumah harga hubung suami h sigit telepon terima kasih
