Kategori,Pesan
Spam,"(Bank Granit menerbitkan Strong-Buy) PILIHAN EKSPLOSIF UNTUK ANGGOTA KAMI ***** HINGGA LEBIH DARI 300% **** Nasdaq Symbol CDGT Itu adalah $ 5,00 per .."
ham,"(Saya harus menambahkan bahwa saya tidak terlalu peduli dan jika Anda tidak bisa, saya setidaknya bisa membuat pria ini bercinta tapi hei, uang Anda jika Anda menginginkannya)"
ham,"(Yang mengatakan, bisakah Anda mengirim sms kepadanya sekali lagi?)"
Spam,* GRATIS * POLIFONIK RINGTONE Teks SUPER ke 87131 untuk mendapatkan Anda FREE POLY TONE minggu ini sekarang! 16 SN PoBox202 NR31 7ZS berlangganan 450pw
Spam,**PESAN GRATIS**Terima kasih telah menggunakan Layanan Berlangganan Lelang. 18 . 150p/MSGRCVD 2 Lewati txt Lelang OUT. 2 Berhenti berlangganan txt STOP CustomerCare 08718726270
Spam,<Diteruskan dari 21870000>Hai - ini adalah peringatan SMS Pesan Kotak Pesan Anda. Anda memiliki 4 pesan. Anda memiliki 21 pertandingan. Silakan hubungi kembali 09056242159 untuk mengambil pesan dan kecocokan Anda
Spam,<Diteruskan dari 21870000>Hai - ini adalah peringatan SMS Pesan Kotak Pesan Anda. Anda memiliki 40 pertandingan. Silakan hubungi kembali 09056242159 untuk mengambil pesan Anda dan mencocokkan cc100p / min
Spam,<Diteruskan dari 448712404000>Silakan HUBUNGI 08712404000 segera karena ada pesan mendesak yang menunggu Anda.
Spam,"<Diteruskan dari 88877>GRATIS masuk ke comp mingguan Â £ 250 kami, cukup kirim kata ENTER ke 88877 SEKARANG. 18 T & C www.textcomp.com"
Spam,07732584351 - Rodger Burns - MSG = Kami mencoba memanggil Anda kembali membalas sms kami untuk nokia ponsel + camcorder gratis. Silakan hubungi sekarang 08000930705 untuk pengiriman besok
Spam,08714712388 antara jam 10 pagi - 7 malam Biaya 10p
Spam,09066362231 MENDESAK! Ponsel Anda No 07xxxxxxxxx memenangkan hadiah pemanggil bonus Â £ 2.000 pada 02/06/03! ini adalah upaya ke-2 untuk menghubungi ANDA! hubungi 09066362231 secepatnya!
Spam,"0A $ NETWORKS memungkinkan perusahaan untuk menagih SMS, sehingga mereka bertanggung jawab atas ""pemasok"" mereka, sama seperti toko harus memberikan jaminan atas apa yang mereka jual. B. G."
ham,"1) Pergi untuk menulis pesan 2) Pasang mode Kamus 3) Tutupi layar dengan tangan, 4) Tekan < #> . 5) Lepaskan tangan Anda dengan lembut .. Ini menarik..:)"
ham,"1.20 biaya panggilan itu. Yang saya kira tidak buruk. Nona ya, butuh ya, mau ya, cinta ya"
ham,10 menit kemudian k...
Spam,100 layanan kencan cal; l 09064012103 kotak334sk38ch
Spam,"1000 menggoda SEKARANG! Txt GIRL atau BLOKE & NAMA &; USIA Anda, misalnya GIRL ZOE 18 hingga 8007 untuk bergabung dan mengobrol!"
Spam,1000 anak perempuan banyak lokal 2 u yang r perawan 2 ini &; r siap 2 4fil setiap kebutuhan seksual Anda. Bisakah u 4fil mereka? ketik CUTE ke 69911 (Â £ 1.50p. m)
Spam,18 hari untuk Euro2004 kickoff! Anda akan terus mendapat informasi tentang semua berita dan hasil terbaru setiap hari. Berhenti berlangganan kirim GET EURO STOP ke 83222.
Spam,18 hari untuk Euro2004 kickoff! Anda akan terus mendapat informasi tentang semua berita dan hasil terbaru setiap hari. Berhenti berlangganan kirim GET EURO STOP ke 83222.
ham,1 selesai rapat hubungi saya.
Spam,1st wk GRATIS! Gr8 nada str8 2 u masing-masing wk. Txt NOKIA ON ke 8007 untuk nada Nokia Klasik atau HIT ON ke 8007 untuk Polys. Nokia/150p Poli/200p 16+
Spam,2/2 146TF150P
Spam,"22 hari untuk memulai! Untuk Euro2004 Anda akan tetap up to date dengan berita terbaru dan hasil setiap hari. Untuk dihapus, kirim GET TXT STOP ke 83222"
Spam,25p 4 alfie Moon's Children in need song on your mob. Beri tahu m8s Anda. Txt Tone amal ke 8007 untuk Nokia atau Poly amal untuk polys: zed 08701417012 keuntungan 2 amal.
ham,26 JULI
Spam,2p per menit untuk menelepon Jerman 08448350055 dari saluran BT Anda. Hanya 2p per menit. Periksa PlanetTalkInstant.com untuk info & T &; C. Berhenti teks untuk menyisih
